大分類,POIコード,POI,解説
地形,0101,山,山、岳、峰、山脈、山地、高地、高山域・亜高山域　等。
地形,0102,カール,カール、U字谷（氷食谷）　等。
地形,0103,崖,断崖・岩壁、岩海、岩峰・岩柱、崖錐　等
地形,0104,火山,火山、地獄、泥火山　等。
地形,0105,カルデラ,カルデラ
地形,0106,噴火口・噴気孔,噴火口・噴気孔、火口、噴泉、間歇泉　等。
地形,0107,尖峰,尖峰　等。
地形,0108,高原,高原、原　等。
地形,0109,丘陵,丘陵　等。
地形,0110,湖沼,湖、沼、池、浦　等。人造湖含む。
地形,0111,河川,河川、用水、甌穴群　等。かれ川を含む。
地形,0112,渓谷,峡谷・渓谷、沢、瀬、淵、瀞、谷、峡　等。
地形,0113,滝,滝。流水が急激に落下する場所。
地形,0114,海岸,海、灘、淵、浦、瀬、瀬戸、海成段丘、波食台（ベンチ）　等。
地形,0115,半島,半島
地形,0116,湾,湾
地形,0117,海峡,海峡
地形,0118,岬,岬
地形,0119,海食洞,海食洞。
地形,0120,岩門,天然橋・岩門・石門　等
地形,0121,潮吹穴,湖吹穴
地形,0122,潮流,潮流、渦流
地形,0123,海中,自然公園法で海中公園に指定されている地区や海中景観の優れた 地区等。
地形,0124,島,群島、列島、島の総称等
地形,0125,岩,岩、露岩、散岩、はえ、岩礁等
地形,0126,サンゴ礁,さんご礁、隆起サンゴ礁
地形,0127,洞窟,洞窟、洞口、風穴　等
地形,0128,湿原,湿原、湿地　等。
地形,0129,砂丘,砂丘
地形,0130,砂浜,砂浜、礫浜、砂嘴、砂州　等。
地形,0131,泉,泉、湧泉群　等
地形,0132,間欠泉,間欠泉
地形,0133,万年雪,万年雪
地形,0134,氷河,氷河
地形,0135,干潟,干潟界
地形,0136,カルスト,カルスト地形、ポリエ　等。
地形,0137,鍾乳洞,鍾乳洞
地形,0198,陸景その他,陸景で上記以外の際立った地形
地形,0199,水景その他,水景で上記以外の際立った地形
自然関連,0201,ジオパーク,ジオパーク
自然関連,0202,花等の名所,花の名所。草の群生地を含む。
自然関連,0203,展望台,展望台
自然関連,0204,展望地,展望地
自然関連,0205,ビジターセンター,ビジターセンター
自然関連,0206,ダム,ダム
自然関連,0207,せき,せき
自然関連,0208,水門,水門
自然関連,0209,運河,運河、その他の水路
自然関連,0210,溜池等,調整池、ため池、溜池　等
自然関連,0211,海の駅,海の駅
自然関連,0299,その他自然関連,
土地利用,0301,田,水稲、蓮、い草、わさび、セリ等の耕作地。 
土地利用,0302,畑,陸稲、野菜、芝、牧草、桑、庭木等の耕作地。
土地利用,0303,茶畑,茶の耕作地。
土地利用,0304,果樹園,りんご、みかん、梨、桃、栗、ぶどう等の果樹の耕作地。 
土地利用,0305,さとうきび畑,さとうきびを栽培している土地      
土地利用,0306,パイナップル畑,パイナップルを栽培している土地      
土地利用,0307,わさび畑,わさび畑
土地利用,0308,桑畑,桑を栽培している土地      
土地利用,0309,ブドウ園,ブドウを栽培している土地      
土地利用,0310,その他の樹木畑,桐、はぜ、こうぞ、庭木等を栽培している土地、および苗木畑
土地利用,0311,市民菜園,市民菜園
土地利用,0312,森,林も含む。
土地利用,0313,広葉樹林,ケヤキ、サクラ、ブナ等の広葉樹が密生している土地。
土地利用,0314,針葉樹林,マツ、スギ、ヒノキ等の針葉樹が密生している土地。 
土地利用,0315,独立樹 （広葉樹）,幅の広い葉をつける単独の大きな樹木、または数株の大きな樹木が集合するもの
土地利用,0316,独立樹 （針葉樹）,裸子植物で葉が針状または鱗片状の単独の大きな樹 木または数株の大きな樹木が集合するもの
土地利用,0317,竹林,竹林
土地利用,0318,ヤシ科樹林,ヤシ科植物が密生している土地
土地利用,0319,はい松地,ハイマツなどの樹高が低い松が密生している土地
土地利用,0320,笹地,笹又は篠竹が密生している土地。
土地利用,0321,荒地,裸地及び雑草地。
土地利用,0322,塩田,塩田
土地利用,0323,芝地,芝を植えて管理している庭園、ゴルフ場及び運動場などの土地      
土地利用,0324,牧場,牧場
土地利用,0325,牧草地,牧草地
土地利用,0326,石切場・採石場,石切場・採石場
土地利用,0327,花壇,花壇
土地利用,0328,空地,空地
土地利用,0399,その他土地,
建物,0401,住宅,住宅
建物,0402,農家,農家
建物,0403,集合住宅,集合住宅
建物,0404,寮,寮
建物,0405,オフィスビル,オフィスビル
建物,0406,コワーキングスペース,コワーキングスペース
建物,0407,工場,工場
建物,0408,造船所,船舶の製造・修理設備として造船台、ドック若しくは引揚船台を有し、船舶を製造又は修理する事業所
建物,0409,製鉄所,高炉により銑鉄を製造する事業所
建物,0410,石油化学コンビナート,石油化学コンビナート
建物,0411,家畜小屋,家畜小屋
建物,0499,その他建物,
目標物,0501,風車,羽に風を受けて動力源とすることを目的に構築された構造物。 
目標物,0502,水車,羽に水を受けて動力源することを目的に構築された構造物。 
目標物,0503,煙突,屋内で排出されるガスを屋外に導くための長い筒状の突起物。
目標物,0504,油田・ガス田,油、ガス等を採掘するための井戸。 
目標物,0505,高塔,特に高くそびえている工作物。送電線の鉄塔、境界の鐘楼、展望台、独立した給水塔は除く。
目標物,0506,坑口,人工の鉱坑及び自然に形成された穴の入口。
目標物,0507,巨大構造物,巨大な大仏、観覧車等といった構造物。
目標物,0508,給水塔,給水塔
目標物,0509,サイロ,サイロ
目標物,0510,タンク,水、油、ガス及び飼料等を貯蔵するため地上に設置された構造物。石油・ガス備蓄基地を含む。
目標物,0511,クレーン,重量物を動力でつり上げ、上下・左右・前後に移動させる機械で、常設された規模の大きいもの
目標物,0512,電波塔,テレビ、ラジオ、無線電信等の送受信を目的に構築された塔 
目標物,0513,公衆電気通信施設,公衆電気通信施設
目標物,0514,火の見,火の見
目標物,0599,その他目標物,
歴史文化,0601,遺跡,遺跡
歴史文化,0602,古墳,古墳
歴史文化,0603,史跡,史跡
歴史文化,0604,天然記念物,文化財保護法に基づく史跡名勝天然記念物。 
歴史文化,0605,名勝,名勝
歴史文化,0606,文化的景観,文化的景観
歴史文化,0607,城,天守あるいはやぐらを有する城。（復元されたものも含む。）
歴史文化,0608,城跡,城があった場所。
歴史文化,0609,古戦場,古戦場
歴史文化,0610,歴史的建造物,歴史的建造物、デザインの優れた建造物（橋や駅、ビル、タワー、ダ ム等）。歴史的文化価値のある建造物そのものが観光利用の対象と なっているもの。
歴史文化,0611,庭園,庭園
歴史文化,0612,記念碑,ある物事を記念し、後世に伝えるために建てたもの
歴史文化,0613,石碑,石碑
歴史文化,0614,門,石、コンクリート、れんが等でできた堅牢な門柱。
歴史文化,0615,屋門,神社、仏閣等における規模の大きな屋門。
歴史文化,0616,鳥居,神社の参道入口に立てて神域を示す一種の門 。
歴史文化,0617,立像,立っている姿の像
歴史文化,0618,路傍祠,路傍にある地蔵または道祖神特に著名なもの、または好目標となるもの。
歴史文化,0619,灯ろう,灯火をともす器具。
歴史文化,0620,蔵,蔵
歴史文化,0621,歴史的街並み,歴史的まち並み、旧街道
歴史文化,0622,古民家,古民家
歴史文化,0623,武家屋敷,武家屋敷
歴史文化,0624,町屋/町家,町屋/町家
歴史文化,0699,その他歴史文化,
宗教施設,0701,神社,通常の神社（神道協会、神道教団その他これに類する場合を除 く）。
宗教施設,0702,寺院,通常の寺院。 
宗教施設,0703,教会,教会
宗教施設,0704,モスク,モスク
宗教施設,0799,その他宗教施設,
文化・教養,0801,博物館,博物館等の定めにないものも含む。 
文化・教養,0802,美術館,ギャラリー、絵画館を含む。
文化・教養,0803,記念・資料館,記念・資料館
文化・教養,0804,動物園,サファリパーク、鳥類園を含む。
文化・教養,0805,植物園,植物園
文化・教養,0806,野鳥観察所,野鳥観察所
文化・教養,0807,水族館,水族館
文化・教養,0808,その他生き物施設,その他生き物施設。昆虫園　等。
文化・教養,0809,産業観光施設,産業観光（歴史的・文化的価値のある工場等やその遺構、機械器具、最先端の技術を備えた工場等を対象とした観光で、学びや体験 を伴うもの。） 
文化・教養,0899,その他の主要・著名な建物,
温泉等,0901,温泉,温泉法に基づくもの。 「○○温泉」と同じ名のつくエリアの宿泊及び日帰りの温泉施設全体 を一つの地点として取り扱う。なお湯畑等の観光施設を別地点としても差し支えかまわない
温泉等,0902,鉱泉,温泉法に基づく鉱泉   
温泉等,0903,銭湯,温泉法に基づかない温泉類似施設、スーパー銭湯、銭湯　等
温泉等,0904,足湯,足湯
温泉等,0999,その他入浴施設,
レクリエーション,1001,観光案内所,観光案内所、ツーリストインフォメーション
レクリエーション,1002,自然公園,自然公園地域とは、優れた自然の風景地で、その保護および利用の増進を図る必要がある地域であり、自然公園法第2条第1項自然公園（国立公園、国定公園及び都道府県立自然公園）として指定されることが相当な地域。
レクリエーション,1003,都市公園,街区公園、近隣公園、地区公園（カントリーパーク）、総合公園、運動公園、広域公園、レクリエーション都市、国営公園、特殊公園（風致公園、動植物公園、歴史公園、墓園）、緩衝緑地、都市緑地、緑道、都市林、広場公園
レクリエーション,1004,庭園,庭園
レクリエーション,1005,緑地,緑地
レクリエーション,1006,広場,広場
レクリエーション,1007,噴水,噴水
レクリエーション,1008,遊園地,各種遊戯施設により娯楽を提供する施設。
レクリエーション,1009,テーマパーク,文化、歴史、科学等に関する特定のテーマに基づき施設全体の環境 づくりを行い、各種遊戯施設により娯楽を提供する施設。 特定のテーマのもとに施設全体の環境づくりを行い、 テーマに関連するアトラクションを有し、パレードやイベント等のソフトを組み込んで、空間全体を演出して娯楽を提供する施設。
レクリエーション,1010,体験施設,
レクリエーション,1011,映画館,映画館
レクリエーション,1012,劇場,劇場
レクリエーション,1013,演劇場,演劇場
レクリエーション,1014,寄席,寄席
レクリエーション,1015,演舞場,演舞場
レクリエーション,1016,ホール,ホール
レクリエーション,1017,展示場,展示場
レクリエーション,1018,遊技場,ビリヤード場、囲碁・将棋所、マージャンクラブ、パチンコホール、ゲームセンター、その他の遊技場
レクリエーション,1019,競馬等の競走場,競輪場、競馬場、自動車・モーターボートの競走場
レクリエーション,1020,カジノ,カジノ
レクリエーション,1021,カラオケボックス,カラオケボックス
レクリエーション,1022,プラネタリウム,プラネタリウム
レクリエーション,1023,釣り場,釣り場
レクリエーション,1024,遊漁船,遊漁船；釣船；瀬渡船；船宿（釣船）。主として船舶により乗客を漁場に案内し、釣りなどの方法により魚類その他の水産動植物を採捕させる施設をいう。
レクリエーション,1099,その他レクリエーション,
スポーツ,1101,スタジアム,スタジアム
スポーツ,1102,陸上競技場,陸上競技を行うためにつくられた施設で、１周 200m 以上のトラックを有するもの。（トラック内にサッカー、ラグビー等を行う施設がある場合でも、陸上競技場として取り扱う。 ） 
スポーツ,1103,野球場,固定したバックネットを有し、主として野球・ソフトボール 専用のもの。 
スポーツ,1104,球技場,サッカー、ラグビー、ハンドボール、ホッケー、その他これ に類する球技専用のもの。 
スポーツ,1105,バッティング・テニス練習場,バッティング・テニス練習場
スポーツ,1106,多目的運動場,必要に応じて各種スポーツが行えるもの。（学校の運動場を含む） 
スポーツ,1107,プール,主に水泳競技、練習、健康増進のための水泳等のためのプール
スポーツ,1108,レジャープール,流水プール、造波プールなどで、レジャープールとして使用されるもの。 
スポーツ,1109,目的別プール,水球、シンクロナイズドスイミング、ダイビングプール等。
スポーツ,1110,体育館,必要に応じて各種スポーツが行える屋内施設。 
スポーツ,1111,柔道場,柔道専用のもの。 
スポーツ,1112,剣道場,剣道専用のもの。 
スポーツ,1113,武道場,主として柔道・剣道に使用されるもの。
スポーツ,1114,空手・合気道場,主として空手・合気道専用のもの。 
スポーツ,1115,バレーボールコート,規定のコートを有し、もっぱらバレーボールに 使用されるもの。 （運動施設の一部に区画をつくり、バレーボール専用に使用しているものも含む。） 
スポーツ,1116,テニスコート,規定のコートを有し、もっぱらテニスに使用されるもの。（運動施設の一部に区画をつくり、テニス専用に使用しているものも含む。） 
スポーツ,1117,バスケットボールコート,規定のコートを有し、もっぱらバスケットボー ルに使用されるもの。（運動施設の一部に区画をつくり、バス ケットボール専用に使用しているものも含む。）
スポーツ,1118,相撲場,規定の大きさの土俵を有するもの。 
スポーツ,1119,卓球場,主として卓球に使用される
スポーツ,1120,弓道場,弓道の試合（近的）が行えるもの。 
スポーツ,1121,アーチェリー場,フィールドアーチェリー場。 
スポーツ,1122,馬場,馬場
スポーツ,1123,スケートリンク,スケートリンク
スポーツ,1124,ローラースケートリンク,ローラースケートリンク
スポーツ,1125,林間学校施設,県・市区町村・団体等が登山・林間学校等のために指定しているもの。 
スポーツ,1126,山小屋,山小屋
スポーツ,1127,避難小屋,避難小屋
スポーツ,1128,登山道,登山道及び入り口
スポーツ,1129,ボルダリング場,ボルダリング場
スポーツ,1130,ロッククライミングスポット,ロッククライミングスポット
スポーツ,1131,オフロード・モトクロス場　,オフロード・モトクロス場　
スポーツ,1132,マウンテンバイクコース,マウンテンバイクコース
スポーツ,1133,トレーニング場,ウェイトトレーニングやサーキットトレーニング等のための設備を有し、もっぱらトレーニングに使用 されるもの。（学校の運動場の一部に独立した区分を設けて、常設されているトレーニングコースも含む） 
スポーツ,1134,フィットネスクラブ,フィットネスクラブ
スポーツ,1135,レスリング場,固定したマットを有し、もっぱらレスリングに使用されるもの。 
スポーツ,1136,ボクシング場,固定したリングを有し、ボクシングに使用されるもの。 
スポーツ,1137,ダンススタジオ,主としてダンスに使用されるもの。（エアロビクス等のスタジオ を含む） 
スポーツ,1138,射撃場,ライフル、拳銃競技が行われるもの。または、クレー放出機器 を備え、競技が行えるもの。（光線銃を含む） 
スポーツ,1139,ゴルフ場,ゴルフ場
スポーツ,1140,ゴルフ練習場,ゴルフ練習場
スポーツ,1141,ボウリング場,ボウリング場
スポーツ,1142,漕艇場,漕艇場
スポーツ,1143,ゲートボール クロッケー場,ゲートボール クロッケー場
スポーツ,1144,スカッシュ・ ラケットボール場,スカッシュやラケットボールに使用されるもの。 
スポーツ,1145,ヨットハーバー、マリーナ,艇庫をもち競技が行えるもの。 
スポーツ,1146,水上スキー・ウェークボード場,水上スキー・ウェークボードのために指定された海岸・海面
スポーツ,1147,サーフィンスポット,サーフィンの名所の海岸
スポーツ,1148,スキー・ スノーボード場,スキー・ スノーボード場
スポーツ,1149,スキージャンプ台,スキージャンプ台
スポーツ,1150,ボブスレー・リュージュコース,ボブスレー・リュージュコース
スポーツ,1151,ノルディックウォーキングコース,ノルディックウォーキングコース
スポーツ,1152,キャンプ場,キャンプ場
スポーツ,1153,サイクリングコース,サイクリングコース
スポーツ,1154,オリエンテーリングコース,オリエンテーリングコース
スポーツ,1155,ランニングコース,ランニングコースとして指定しているもの。（学校のランニングコースも含む） 
スポーツ,1156,フィールドアスレチック,フィールドアスレチィックなど冒険遊具を組み合わせてコース としているもの。
スポーツ,1157,海水浴場,海水浴場
スポーツ,1159,河川・湖沼等の遊泳場,県・市区町村・団体等が遊泳場として指定しているもの。 
スポーツ,1160,スカイスポーツ施設,パラグライダー、ハンググライダー等のスカイスポーツを行う場所として指定しているもの。 
スポーツ,1161,カーリング場,カーリング場
スポーツ,1199,その他スポーツ施設,
国の機関等,1201,官公署,官公署
国の機関等,1202,合同庁舎,合同庁舎
国の機関等,1203,検察庁,検察庁
国の機関等,1204,裁判所,裁判所
国の機関等,1205,法務局,法務局
国の機関等,1206,法テラス,法テラス
国の機関等,1207,公証役場,公証役場
国の機関等,1208,出入国管理局,出入国管理局
国の機関等,1209,税関,税関
国の機関等,1210,税務署,税務署
国の機関等,1211,警察署,警視庁、道府県警察本部及び警察法による警察署
国の機関等,1212,交番,警察法による交番その他の派出所及び駐在所。
国の機関等,1213,運転免許試験場,運転免許試験場
国の機関等,1214,消防署,消防組織法による消防署をいう。
国の機関等,1215,消防署分署,支署、出張所及び分遣所。
国の機関等,1216,郵便局,普通郵便局、特定郵便局及び簡易郵便局。分室及び常設の出張所。
国の機関等,1217,森林管理署,森林管理署
国の機関等,1218,気象台,気象台
国の機関等,1219,職業安定所,職業安定所
国の機関等,1220,労働基準監督署,労働基準監督署
国の機関等,1221,社会保険事務所,社会保険事務所
